Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
CASP3,2.93E-09,0.00000183,0.347,26,hsa-miR-98-5p,hsa-let-7a-5p,hsa-miR-30d-5p,hsa-miR-138-5p,hsa-miR-128-3p,hsa-miR-221-3p,hsa-miR-26b-5p,hsa-miR-196a-5p,hsa-miR-421,hsa-let-7g-5p,hsa-miR-651-3p,hsa-let-7b-3p,hsa-miR-30c-5p,hsa-miR-582-5p,hsa-miR-363-3p,hsa-miR-885-5p,hsa-miR-888-5p,hsa-miR-562,hsa-miR-548n,hsa-miR-30e-5p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-224-5p,hsa-miR-26a-1-3p,hsa-miR-34a-5p,hsa-let-7c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2F5,3.33E-09,0.00000185,0.311,21,hsa-miR-34a-5p,hsa-miR-124-3p,hsa-miR-205-5p,hsa-let-7b-5p,hsa-miR-192-5p,hsa-miR-335-5p,hsa-miR-378a-3p,hsa-miR-106b-5p,hsa-miR-181a-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-let-7c-5p,hsa-miR-98-5p,hsa-miR-98-3p,hsa-miR-129-1-3p,hsa-miR-129-2-3p,hsa-miR-218-2-3p,hsa-miR-584-5p,hsa-miR-758-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF4,3.33E-09,0.00000185,0.311,21,hsa-miR-145-5p,hsa-miR-25-3p,hsa-miR-135b-5p,hsa-miR-130a-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-335-5p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-30b-5p,hsa-miR-29a-3p,hsa-miR-15a-5p,hsa-miR-624-3p,hsa-miR-34a-5p,hsa-miR-7-5p,hsa-miR-152-3p,hsa-miR-32-5p,hsa-miR-367-3p,hsa-miR-92a-3p,hsa-miR-135a-5p,hsa-miR-29c-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOD1,3.25E-09,0.00000185,0.58,87,hsa-miR-361-5p,hsa-miR-125a-5p,hsa-miR-30b-5p,hsa-miR-181a-5p,hsa-miR-98-5p,hsa-miR-93-5p,hsa-miR-26b-5p,hsa-miR-24-3p,hsa-miR-21-5p,hsa-miR-221-3p,hsa-miR-583,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-550a-5p,hsa-miR-550a-3-5p,hsa-miR-181a-2-3p,hsa-miR-643,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-127-5p,hsa-miR-877-5p,hsa-miR-7-5p,hsa-miR-661,hsa-miR-221-5p,hsa-miR-888-5p,hsa-miR-144-3p,hsa-miR-576-5p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-520d-3p,hsa-miR-302d-3p,hsa-miR-302e,hsa-miR-520c-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-520f-3p,hsa-let-7b-5p,hsa-let-7d-5p,hsa-let-7a-5p,hsa-let-7c-5p,hsa-let-7g-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7i-5p,hsa-miR-324-5p,hsa-miR-125b-5p,hsa-miR-516b-5p,hsa-miR-202-3p,hsa-miR-676-5p,hsa-miR-196a-5p,hsa-miR-196b-5p,hsa-miR-197-3p,hsa-miR-513b-3p,hsa-miR-17-5p,hsa-miR-519d-3p,hsa-miR-520g-3p,hsa-miR-551b-5p,hsa-miR-9-3p,hsa-miR-320d,hsa-miR-320c,hsa-miR-320b,hsa-miR-369-3p,hsa-miR-34a-5p,hsa-miR-550a-3p,hsa-miR-200c-5p,hsa-miR-218-2-3p,hsa-miR-203b-5p,hsa-miR-140-5p,hsa-miR-875-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC24A,6.74E-09,0.00000359,0.448,42,hsa-miR-16-5p,hsa-miR-30a-5p,hsa-miR-125b-5p,hsa-miR-92a-3p,hsa-miR-377-5p,hsa-miR-329-5p,hsa-miR-655-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-383-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-758-3p,hsa-miR-892c-5p,hsa-miR-646,hsa-miR-424-5p,hsa-miR-503-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-9-3p,hsa-miR-22-5p,hsa-miR-676-5p,hsa-miR-888-3p,hsa-miR-320d,hsa-miR-320c,hsa-miR-320b,hsa-miR-186-5p,hsa-miR-429,hsa-miR-200c-3p,hsa-miR-200b-3p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-197-3p,hsa-miR-27b-3p,hsa-miR-27a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTOR,7.79E-09,0.00000387,0.293,18,hsa-miR-99a-5p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-99b-5p,hsa-miR-144-3p,hsa-miR-100-5p,hsa-miR-199a-3p,hsa-miR-16-5p,hsa-miR-744-5p,hsa-miR-181b-5p,hsa-miR-101-3p,hsa-let-7c-5p,hsa-miR-496,hsa-miR-196b-5p,hsa-miR-224-5p,hsa-miR-128-3p,hsa-miR-193a-5p,hsa-miR-125a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRT1,7.55E-09,0.00000387,0.357,26,hsa-miR-132-3p,hsa-miR-34a-5p,hsa-miR-216a-5p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-181a-5p,hsa-miR-138-5p,hsa-miR-181b-5p,hsa-miR-9-5p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-331-3p,hsa-let-7c-5p,hsa-miR-199a-5p,hsa-miR-204-5p,hsa-miR-29c-3p,hsa-miR-221-3p,hsa-miR-543,hsa-miR-22-3p,hsa-miR-133b,hsa-miR-23b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-155-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMPR2,1.03E-08,0.00000423,0.4,32,hsa-miR-20a-5p,hsa-miR-21-5p,hsa-miR-129-5p,hsa-miR-92a-3p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-17-5p,hsa-miR-100-5p,hsa-miR-130a-3p,hsa-miR-128-3p,hsa-miR-215-5p,hsa-miR-7-5p,hsa-miR-192-5p,hsa-miR-93-5p,hsa-miR-26b-5p,hsa-miR-135a-5p,hsa-miR-181a-5p,hsa-miR-106b-5p,hsa-miR-519d-3p,hsa-miR-32-5p,hsa-miR-181b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-135b-5p,hsa-miR-125b-1-3p,hsa-miR-103a-2-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-452-5p,hsa-miR-100-3p,hsa-miR-490-5p,hsa-miR-153-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBXW7,9.03E-09,0.00000423,0.416,35,hsa-miR-197-3p,hsa-miR-107,hsa-miR-128-3p,hsa-miR-27a-3p,hsa-miR-590-3p,hsa-miR-103a-3p,hsa-miR-101-3p,hsa-miR-16-5p,hsa-miR-503-5p,hsa-miR-182-5p,hsa-miR-25-3p,hsa-miR-510-3p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-664b-3p,hsa-miR-190a-3p,hsa-miR-579-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-656-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-384,hsa-miR-363-3p,hsa-miR-182-3p,hsa-miR-155-3p,hsa-miR-770-5p,hsa-miR-24-3p,hsa-miR-223-5p,hsa-miR-367-3p,hsa-miR-144-3p,hsa-miR-296-3p,hsa-miR-588,hsa-miR-92a-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK3B,9.56E-09,0.00000423,0.437,39,hsa-miR-26a-5p,hsa-miR-29b-3p,hsa-miR-877-3p,hsa-miR-92a-3p,hsa-miR-183-5p,hsa-miR-96-5p,hsa-miR-182-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-miR-190a-3p,hsa-miR-346,hsa-miR-199a-5p,hsa-miR-409-5p,hsa-miR-410-3p,hsa-miR-513c-3p,hsa-miR-369-3p,hsa-miR-513a-3p,hsa-miR-26b-5p,hsa-miR-33a-3p,hsa-miR-383-3p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-9-5p,hsa-miR-769-5p,hsa-miR-27a-3p,hsa-miR-129-1-3p,hsa-miR-99b-3p,hsa-miR-29a-3p,hsa-miR-26a-1-3p,hsa-miR-501-5p,hsa-miR-616-5p,hsa-miR-942-5p,hsa-miR-224-5p,hsa-miR-744-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP1B,9.56E-09,0.00000423,0.437,39,hsa-miR-9-5p,hsa-miR-132-3p,hsa-miR-34a-5p,hsa-miR-7-5p,hsa-miR-455-3p,hsa-miR-222-3p,hsa-miR-30d-5p,hsa-miR-92a-3p,hsa-miR-380-3p,hsa-miR-151a-3p,hsa-miR-411-5p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-26a-5p,hsa-miR-26b-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-510-3p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-23c,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-302e,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-513a-5p,hsa-miR-562,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTCH1,9.99E-09,0.00000423,0.381,29,hsa-miR-27b-3p,hsa-miR-24-3p,hsa-miR-23b-3p,hsa-miR-34a-5p,hsa-miR-30a-5p,hsa-miR-326,hsa-miR-129-5p,hsa-miR-144-3p,hsa-miR-181a-5p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30e-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-519e-5p,hsa-miR-515-5p,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-623,hsa-miR-335-3p,hsa-miR-627-3p,hsa-miR-363-3p,hsa-miR-9-5p,hsa-miR-410-3p,hsa-miR-101-3p,hsa-miR-935,hsa-miR-30a-3p,hsa-miR-296-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAI1,9.76E-09,0.00000423,0.304,19,hsa-miR-204-5p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30e-5p,hsa-miR-153-3p,hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-34a-5p,hsa-miR-506-3p,hsa-miR-199a-5p,hsa-miR-22-3p,hsa-miR-30c-2-3p,hsa-miR-410-3p,hsa-miR-128-1-5p,hsa-miR-128-3p,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,1.66E-08,0.00000665,0.527,60,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-147a,hsa-miR-140-5p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-520g-3p,hsa-miR-378a-3p,hsa-miR-330-3p,hsa-miR-125a-5p,hsa-miR-361-5p,hsa-miR-20a-5p,hsa-miR-504-5p,hsa-miR-372-3p,hsa-miR-106b-5p,hsa-miR-34a-5p,hsa-miR-205-5p,hsa-miR-145-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-503-5p,hsa-miR-335-5p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-133a-3p,hsa-miR-101-3p,hsa-miR-21-5p,hsa-miR-29a-3p,hsa-miR-424-5p,hsa-miR-598-5p,hsa-miR-374b-3p,hsa-miR-451b,hsa-miR-568,hsa-miR-141-5p,hsa-miR-299-3p,hsa-miR-297,hsa-miR-95-5p,hsa-miR-199a-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-646,hsa-miR-567,hsa-miR-410-3p,hsa-miR-369-3p,hsa-miR-362-3p,hsa-miR-576-5p,hsa-miR-660-3p,hsa-miR-186-5p,hsa-miR-181a-5p,hsa-miR-942-3p,hsa-miR-296-5p,hsa-miR-199a-3p,hsa-miR-16-1-3p,hsa-miR-429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDIT4,1.71E-08,0.00000667,0.468,44,hsa-miR-221-3p,hsa-miR-181a-5p,hsa-miR-124-3p,hsa-miR-101-3p,hsa-miR-30c-5p,hsa-miR-181b-5p,hsa-miR-600,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-153-3p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-199a-3p,hsa-miR-199b-3p,hsa-miR-22-3p,hsa-miR-222-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-335-3p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-590-3p,hsa-miR-448,hsa-miR-24-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYSMD3,1.83E-08,0.00000694,0.367,26,hsa-miR-340-5p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-181a-5p,hsa-miR-192-5p,hsa-miR-101-3p,hsa-miR-27a-3p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106b-5p,hsa-miR-519d-3p,hsa-miR-410-3p,hsa-miR-205-5p,hsa-miR-384,hsa-miR-374a-3p,hsa-miR-944,hsa-miR-580-5p,hsa-miR-651-3p,hsa-miR-27b-3p,hsa-miR-216a-3p,hsa-miR-144-3p,hsa-miR-502-3p,hsa-miR-501-3p,hsa-miR-380-3p,hsa-miR-506-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIK1,1.98E-08,0.00000732,0.486,48,hsa-miR-32-5p,hsa-miR-28-5p,hsa-let-7a-5p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-668-3p,hsa-miR-302e,hsa-miR-761,hsa-miR-214-3p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-130a-3p,hsa-miR-301b-3p,hsa-miR-454-3p,hsa-miR-616-3p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-520f-3p,hsa-miR-92a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP2K1,2.04E-08,0.00000736,0.408,32,hsa-miR-424-5p,hsa-miR-34a-5p,hsa-miR-128-3p,hsa-miR-181a-5p,hsa-miR-101-3p,hsa-miR-30c-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548k,hsa-miR-548l,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-451b,hsa-miR-548aq-5p,hsa-miR-548av-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-624-5p,hsa-miR-181b-5p,hsa-miR-494-3p,hsa-miR-448,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-889-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGPD4,2.15E-08,0.00000756,0.389,29,hsa-miR-335-5p,hsa-miR-27a-3p,hsa-miR-216a-3p,hsa-miR-27b-3p,hsa-miR-128-3p,hsa-miR-340-5p,hsa-miR-513a-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAH1,2.26E-08,0.00000756,0.421,34,hsa-miR-210-3p,hsa-miR-30b-5p,hsa-miR-34a-5p,hsa-miR-21-5p,hsa-miR-18a-3p,hsa-miR-221-3p,hsa-miR-100-5p,hsa-miR-92a-3p,hsa-miR-196a-3p,hsa-miR-193b-3p,hsa-miR-193a-3p,hsa-miR-590-3p,hsa-miR-374b-3p,hsa-miR-331-5p,hsa-miR-411-5p,hsa-miR-891a-3p,hsa-miR-376a-2-5p,hsa-miR-30e-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30a-5p,hsa-miR-128-3p,hsa-miR-216a-3p,hsa-miR-29b-2-5p,hsa-miR-376c-5p,hsa-miR-376b-5p,hsa-miR-509-3p,hsa-miR-759,hsa-miR-548an,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-96-5p,hsa-miR-579-3p,hsa-miR-664b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMTC3,2.26E-08,0.00000756,0.421,34,hsa-miR-29c-3p,hsa-miR-128-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-101-3p,hsa-miR-27a-3p,hsa-miR-16-5p,hsa-let-7d-5p,hsa-let-7b-5p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-144-3p,hsa-miR-190a-3p,hsa-miR-297,hsa-let-7a-5p,hsa-let-7c-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-miR-98-5p,hsa-miR-224-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-27b-3p,hsa-miR-202-3p,hsa-miR-516b-5p,hsa-miR-519e-5p,hsa-miR-515-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-630,hsa-miR-216a-3p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-556-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICER1,2.65E-08,0.00000853,0.459,41,hsa-let-7a-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-519a-3p,hsa-miR-130a-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-29a-3p,hsa-miR-29c-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-98-5p,hsa-miR-296-3p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-9-5p,hsa-miR-581,hsa-miR-513a-3p,hsa-miR-513c-3p,hsa-miR-106a-3p,hsa-miR-376a-5p,hsa-miR-586,hsa-miR-377-5p,hsa-miR-21-5p,hsa-miR-582-5p,hsa-miR-101-3p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-454-3p,hsa-miR-301b-3p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-200a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPRT1,2.66E-08,0.00000853,0.405,31,hsa-miR-193b-3p,hsa-miR-34a-5p,hsa-miR-30c-5p,hsa-miR-577,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-301b-3p,hsa-miR-576-5p,hsa-miR-548l,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-651-5p,hsa-miR-107,hsa-miR-103a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHD17C,3.26E-08,0.0000101,0.342,22,hsa-miR-145-5p,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-27a-3p,hsa-miR-106b-5p,hsa-miR-183-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-27b-3p,hsa-miR-513a-5p,hsa-miR-545-5p,hsa-miR-202-3p,hsa-miR-216a-3p,hsa-let-7d-5p,hsa-let-7i-5p,hsa-miR-98-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-let-7g-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH1,3.29E-08,0.0000101,0.307,18,hsa-miR-9-5p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-193b-3p,hsa-miR-138-5p,hsa-miR-26b-5p,hsa-miR-30c-5p,hsa-miR-23a-3p,hsa-miR-30a-5p,hsa-miR-199a-5p,hsa-miR-544a,hsa-miR-204-5p,hsa-miR-888-5p,hsa-miR-224-5p,hsa-miR-421,hsa-miR-9-3p,hsa-miR-129-5p,hsa-miR-200c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
